,Room,Slot,Total Capacity,Total Hours,Used Capacity,Used Hours,Exam 1,Exam 2,Exam 3
122,TRENT-HALL,28th Jan Morning,125,3,51,3.5,V62200E1,G53RDBE1,
123,TRENT-HALL,30th Jan Morning,125,3,69,3.25,V73128E1,G5BGRAE1,
124,TRENT-HALL,30th Jan Afternoon,125,2,35,4.5,R13003E1,C13563E1,
125,TRENT-HALL,30th Jan Evening,125,2,66,4.5,R13012E1,C73507E1,
126,TRENT-HALL,31st Jan Morning,125,3,28,4.75,V73127E1,G53LCTE1,
127,TRENT-HALL,31st Jan Afternoon,125,2,40,4.0,Q83184E1,F13O01E1,
128,TRENT-HALL,31st Jan Evening,125,2,114,3.0,Q8B075E1,F11I01E1,
129,TRENT-HALL,1st Feb Afternoon,125,2,143,4.0,Q4B104E1,F11P02E1,
130,TRENT-HALL,1st Feb Evening,125,2,177,3.0,V13119E1,F311Q1E1,
131,TRENT-HALL,2nd Feb Afternoon,125,2,52,4.5,V72AINE1,C13565E1,
132,TRENT-HALL,2nd Feb Evening,125,2,94,4.0,R23104E1,C42306E1,
133,TRENT-HALL,3rd Feb Morning,125,3,57,3.5,V83123E1,C42307E1,
134,TRENT-HALL,3rd Feb Afternoon,125,2,29,2.5,V83138E1,F13X03E1,
135,TRENT-HALL,3rd Feb Evening,125,2,34,4.5,R13023E1,C13573E1,
136,TRENT-HALL,4th Feb Morning,125,3,53,4.75,R43204E1,C43511E1,
137,TRENT-L19,23rd Jan Morning,80,3,22,3.5,R4B107E1,F13P02E1,
138,TRENT-L19,23rd Jan Afternoon,80,2,32,4.0,R13011E1,F13X01E1,
139,TRENT-L19,23rd Jan Evening,80,2,56,3.5,R13005E1,J5CCCEE1,
140,TRENT-L19,24th Jan Morning,80,3,50,4.0,R43152E1,J5CMUSE1,
141,TRENT-L19,24th Jan Afternoon,80,2,46,5.0,Q83142E1,C13562E1,
142,TRENT-L19,24th Jan Evening,80,2,46,3.5,V6B336E1,F331N6E1,
143,TRENT-L19,25th Jan Morning,80,3,58,4.0,R83038E1,F331O6E1,
144,TRENT-L19,25th Jan Afternoon,80,2,47,4.0,R83043E1,F331S9E1,
145,TRENT-L19,25th Jan Evening,80,2,32,3.0,R83052E1,F331Z8E1,
146,TRENT-L19,26th Jan Morning,80,3,87,4.0,R83044E1,F3B1X4E1,
147,TRENT-L19,26th Jan Afternoon,80,2,54,4.0,R13015E1,G13CM2E1,
148,TRENT-L19,26th Jan Evening,80,2,55,3.5,V13105E1,G13LO1E1,
149,TRENT-L19,27th Jan Morning,80,3,37,4.0,V13111E1,C43512E1,
150,TRENT-L19,27th Jan Afternoon,80,2,139,3.0,LK10SAE1,F331N3E1,
151,TRENT-L19,27th Jan Evening,80,2,93,3.5,R23216E1,F331Q3E1,
152,TRENT-L19,28th Jan Morning,80,3,84,4.0,R43153E1,F331S2E1,
153,TRENT-L19,30th Jan Morning,80,3,76,3.5,R82028E1,F331Z4E1,
154,TRENT-L19,30th Jan Afternoon,80,2,23,5.0,R83036E1,G13AL4E1,
155,TRENT-L19,30th Jan Evening,80,2,25,3.5,R83046E1,G13PR2E1,
156,TRENT-L19,31st Jan Morning,80,3,59,3.5,R42103E1,G13SP2E1,
157,TRENT-L19,31st Jan Afternoon,80,2,51,3.5,R13014E1,F3B1B3E1,
158,TRENT-L19,31st Jan Evening,80,2,50,5.0,R13017E1,C13564E1,
159,TRENT-L19,1st Feb Morning,80,3,28,4.0,R83051E1,C13567E1,
160,TRENT-L19,1st Feb Afternoon,80,2,37,4.0,R13044E1,G13QT1E1,
161,TRENT-L19,1st Feb Evening,80,2,44,3.5,R23009E1,G13RE2E1,
162,TRENT-L19,2nd Feb Morning,80,3,21,3.5,R23105E1,F331X3E1,
163,TRENT-L19,2nd Feb Afternoon,80,2,23,3.5,R23106E1,G13ST3E1,
164,TRENT-L19,2nd Feb Evening,80,2,34,4.0,R13007E1,HG3J5BE1,
165,TRENT-L19,3rd Feb Morning,80,3,48,4.0,M12365E1,G13AN4E1,
166,TRENT-L19,3rd Feb Afternoon,80,2,19,2.5,M1B351E1,F13P05E1,
167,TRENT-L19,3rd Feb Evening,80,2,17,3.75,R43149E1,G5BSBBE1,
168,TRENT-L19,4th Feb Morning,80,3,18,4.5,V13163E1,HG3J5AE1,
169,TRENT-B46,23rd Jan Morning,40,3,14,4.0,V13173E1,G13CS2E1,
170,TRENT-B46,23rd Jan Afternoon,40,2,23,4.0,V13214E1,G13RE1E1,
171,TRENT-B46,23rd Jan Evening,40,2,54,3.5,V6B302E1,F321C6E1,
172,TRENT-B46,25th Jan Afternoon,40,2,75,4.0,Q33211E1,HG3S5EE1,
173,TRENT-B46,25th Jan Evening,40,2,59,4.0,Q33307E1,F331M9E1,
174,TRENT-B46,26th Jan Morning,40,3,52,5.0,Q33308E1,D23315E1,
175,TRENT-B46,26th Jan Evening,40,2,14,4.0,V43117E1,D23360E1,
176,TRENT-B46,27th Jan Evening,40,2,65,4.0,V43239E1,C12332E1,
177,TRENT-B46,30th Jan Morning,40,3,64,3.5,Q13013E1,C42304E1,
178,TRENT-B46,30th Jan Afternoon,40,2,6,3.5,Q13017E1,G13LA1E1,
179,TRENT-B46,30th Jan Evening,40,2,53,2.5,Q82028E1,F311V1E1,
180,TRENT-B46,31st Jan Afternoon,40,2,73,3.5,M13369E1,C12328E1,
181,TRENT-B46,1st Feb Afternoon,40,2,51,4.0,Q3A307E1,J5CCRME1,
182,TRENT-B46,2nd Feb Evening,40,2,54,3.5,Q8B063E1,C12331E1,
183,TRENT-B46,3rd Feb Afternoon,40,2,21,3.5,AAA011E1,D23336E1,
184,TRENT-B46,3rd Feb Evening,40,2,70,3.5,V13169E1,C12325E1,
185,COPSE-2,23rd Jan Morning,40,3,75,5.0,H7CHCME1,C72303E1,
186,COPSE-2,23rd Jan Evening,40,2,26,5.5,AAB025E1,HG3S5FE1,
187,COPSE-2,24th Jan Morning,40,3,63,3.5,Q32302E1,F321Q6E1,
188,COPSE-2,24th Jan Afternoon,40,2,19,4.0,R43148E1,F321S6E1,
189,COPSE-2,24th Jan Evening,40,2,19,4.0,R4B209E1,F321T6E1,
190,COPSE-2,30th Jan Afternoon,40,2,66,3.0,V42143E1,G5P005E1,
191,COPSE-2,30th Jan Evening,40,2,17,4.0,Q8B096E1,B12301E1,
192,COPSE-2,31st Jan Afternoon,40,2,71,4.0,AAA013E1,B12303E1,
193,COPSE-2,31st Jan Evening,40,2,38,4.0,L3B090E1,B12320E1,
194,COPSE-2,2nd Feb Afternoon,40,2,44,4.0,Q8B043E1,HG1S1CE1,
195,COPSE-2,2nd Feb Evening,40,2,14,3.0,Q83186E1,C52303E1,
196,COPSE-2,3rd Feb Morning,40,3,21,3.5,AAA033E1,F321Q9E1,
197,COPSE-2,3rd Feb Evening,40,2,39,3.5,V72119E1,F12O01E1,
198,COPSE-3,23rd Jan Afternoon,50,2,59,2.5,LKB2FAE1,F12X04E1,
199,COPSE-3,23rd Jan Evening,50,2,19,3.5,V13159E1,F12X04E2,
200,COPSE-3,24th Jan Afternoon,50,2,42,3.0,R81022E1,F12P03E1,
201,COPSE-3,24th Jan Evening,50,2,15,3.5,V13101E1,F12X05E1,
202,COPSE-3,25th Jan Morning,50,3,24,3.5,V13103E1,J5BORME1,
203,COPSE-3,25th Jan Afternoon,50,2,15,3.0,Q83108E1,J5BSMAE1,
204,COPSE-3,25th Jan Evening,50,2,8,2.5,Q83168E1,G111MCE1,
205,COPSE-3,27th Jan Afternoon,50,2,72,5.0,V13185E1,J1B117E1,
206,COPSE-3,27th Jan Evening,50,2,93,3.0,V13181E1,F11P01E1,
207,COPSE-3,28th Jan Morning,50,3,38,4.5,V83119E1,C8P001E1,
208,COPSE-3,30th Jan Afternoon,50,2,70,4.0,Q3A201E1,C1P001E1,
209,COPSE-3,1st Feb Morning,50,3,62,4.0,M1B374E1,J51IMAE1,
210,COPSE-3,1st Feb Afternoon,50,2,10,2.5,V13125E1,C81MJAE1,
211,COPSE-3,2nd Feb Afternoon,50,2,10,3.0,V13197E1,C81J1AE1,
212,COPSE-3,2nd Feb Evening,50,2,6,2.5,V6B313E1,C81J1AE2,
213,COPSE-3,3rd Feb Morning,50,3,58,4.0,M1B372E1,H6P002E1,
214,COPSE-3,4th Feb Morning,50,3,92,3.5,R12002E1,H3CPOEE1,
215,COPSE-4,24th Jan Afternoon,35,2,47,3.5,AAA034E1,H7CEPDE1,
216,COPSE-4,24th Jan Evening,35,2,54,3.5,V12115E1,H7CFOOE1,
217,COPSE-4,25th Jan Afternoon,35,2,17,5.0,V73233E1,J1C116E1,
218,COPSE-4,25th Jan Evening,35,2,20,3.5,V83143E1,J1C122E1,
219,COPSE-4,26th Jan Morning,35,3,15,4.5,V81103E1,J1C125E1,
220,COPSE-4,26th Jan Afternoon,35,2,46,4.0,R12008E1,J1C205E1,
221,COPSE-4,27th Jan Morning,35,3,60,3.5,R82025E1,J1C111E1,
222,COPSE-4,27th Jan Afternoon,35,2,43,3.5,V13104E1,J1C112E1,
223,COPSE-4,27th Jan Evening,35,2,60,3.5,AA2016E1,J1C119E1,
224,COPSE-4,28th Jan Morning,35,3,44,3.5,W32H14E1,H8C001E1,
225,COPSE-4,30th Jan Morning,35,3,36,4.0,V13155E1,H8C002E1,
226,COPSE-4,30th Jan Afternoon,35,2,59,3.5,V6B335E1,H8C019E1,
227,COPSE-4,30th Jan Evening,35,2,51,3.5,V6B329E1,H8C043E1,
228,COPSE-4,31st Jan Evening,35,2,58,3.5,R22203E1,HGCEMBE1,
229,COPSE-4,1st Feb Morning,35,3,68,3.5,R22212E1,H7CFAME1,
230,COPSE-4,1st Feb Afternoon,35,2,52,3.5,Q82024E1,H23C20E1,
231,COPSE-4,3rd Feb Afternoon,35,2,45,4.0,Q8B045E1,H5C142E1,
232,COPSE-4,4th Feb Morning,35,3,54,3.5,W32F10E1,H2CS05E1,
233,COPSE-5,23rd Jan Afternoon,30,2,23,5.0,LKC3SAE1,H7CSERE1,
234,COPSE-5,23rd Jan Evening,30,2,36,3.5,V82111E1,H24C20E1,
235,COPSE-5,25th Jan Morning,30,3,58,4.0,L83118E1,H6C133E1,
236,COPSE-5,25th Jan Afternoon,30,2,56,4.0,M1B382E1,H2CG03E1,
237,COPSE-5,27th Jan Morning,30,3,24,4.0,L83121E1,H2CV03E1,
238,COPSE-5,27th Jan Afternoon,30,2,44,3.5,L3B100E1,H72LOGE1,
239,COPSE-5,28th Jan Morning,30,3,54,3.5,V72121E1,H7CSIME1,
240,COPSE-5,30th Jan Evening,30,2,22,4.0,Q8B076E1,J1C227E1,
241,COPSE-5,3rd Feb Morning,30,3,58,3.5,V7A105E1,H23CEOE1,
242,COPSE-6,23rd Jan Morning,25,3,26,4.0,V82C01E1,H7CLASE1,
243,COPSE-6,23rd Jan Afternoon,25,2,15,4.0,R8B032E1,H3CTSEE1,
244,COPSE-6,23rd Jan Evening,25,2,12,3.5,Q3B211E1,HGCEMCE1,
245,COPSE-6,24th Jan Morning,25,3,9,3.5,R22204E1,D22227E1,
246,COPSE-6,27th Jan Morning,25,3,16,3.5,R12024E1,J1B115E1,
247,COPSE-6,27th Jan Evening,25,2,18,3.0,AAB058E1,J1B203E1,
248,COPSE-6,28th Jan Morning,25,3,39,3.5,Q3A303E1,HG2J3AE1,
249,COPSE-6,30th Jan Morning,25,3,38,4.0,LKA1RAE1,HG2J3BE1,
250,COPSE-6,30th Jan Afternoon,25,2,40,3.5,W32H16E1,HG2J3DE1,
251,COPSE-6,30th Jan Evening,25,2,44,3.0,Q81009E1,HG2J4AE1,
252,COPSE-6,31st Jan Morning,25,3,39,3.5,W32C10E1,HG2S3EE1,
253,COPSE-6,31st Jan Afternoon,25,2,48,3.5,W32H10E1,H8A009E1,
254,COPSE-6,2nd Feb Evening,25,2,17,4.0,V41124E1,H3CFM3E1,
255,PRTLND-GRND,23rd Jan Morning,200,3,95,3.5,V12123E1,H22C20E1,
256,PRTLND-GRND,23rd Jan Afternoon,200,2,13,4.5,V12129E1,LKC3RAE1,
257,PRTLND-GRND,23rd Jan Evening,200,2,32,4.0,V42103E1,H72ENTE1,
258,PRTLND-GRND,24th Jan Morning,200,3,142,3.5,V12135E1,H51100E1,
259,PRTLND-GRND,24th Jan Afternoon,200,2,157,3.5,M3A019E1,H61120E1,
260,PRTLND-GRND,24th Jan Evening,200,2,141,4.0,N1A402E1,HG1EM0E1,
261,PRTLND-GRND,25th Jan Morning,200,3,109,4.0,M12353E1,J1A102E1,
262,PRTLND-GRND,25th Jan Afternoon,200,2,52,3.5,V12139E1,J1A110E1,
263,PRTLND-GRND,25th Jan Evening,200,2,158,3.5,V11111E1,J1A111E1,
264,PRTLND-GRND,26th Jan Morning,200,3,106,3.5,V61110E1,J1A202E1,
265,PRTLND-GRND,26th Jan Afternoon,200,2,108,3.0,V61120E1,J1A203E1,
266,PRTLND-GRND,26th Jan Evening,200,2,176,5.0,Q4A101E1,H31BDAE1,
267,PRTLND-GRND,27th Jan Morning,200,3,285,5.0,L11100E1,H31DM1E1,
268,PRTLND-GRND,27th Jan Afternoon,200,2,111,3.0,V12121E1,H31ENCE1,
269,PRTLND-GRND,27th Jan Evening,200,2,108,3.0,LK10FAE1,H81022E1,
270,PRTLND-GRND,30th Jan Afternoon,200,2,104,3.5,L11130E1,H21B00E1,
271,PRTLND-GRND,30th Jan Evening,200,2,108,3.5,AAA022E1,H21H01E1,
272,PRTLND-GRND,31st Jan Morning,200,3,128,3.5,R13001E1,H21M01E1,
273,PRTLND-GRND,31st Jan Afternoon,200,2,197,4.0,B33545E1,J51R01E1,
274,PRTLND-GRND,31st Jan Evening,200,2,40,3.5,M1B380E1,HG1J1AE1,
275,PRTLND-GRND,2nd Feb Morning,200,3,57,3.5,V7A117E1,EN00P5E1,
276,PRTLND-GRND,2nd Feb Afternoon,200,2,104,4.0,M31006E1,EN00P7E1,
277,PRTLND-GRND,2nd Feb Evening,200,2,50,3.5,L82120E1,H6P001E1,
278,PRTLND-GRND,3rd Feb Morning,200,3,44,3.5,L82121E1,EN00C1E1,
279,PRTLND-GRND,3rd Feb Afternoon,200,2,104,4.0,L82125E1,EN00P1E1,
280,PRTLND-GRND,3rd Feb Evening,200,2,39,3.0,Q81016E1,EN00P3E1,
281,PRTLND-GRND,4th Feb Morning,200,3,58,4.0,Q81003E1,J1A112E1,
282,POPE-A13,23rd Jan Evening,80,2,22,3.0,LKC3GAE1,,
283,POPE-A13,1st Feb Evening,80,2,39,3.0,Q4A210E1,,
284,ART-SEMINAR,27th Jan Evening,15,2,9,3.0,LK44SAE1,,
285,SPORT-SMALL,30th Jan Afternoon,270,2,172,3.0,G11MA1E1,,
