,Room,Slot,Total Capacity,Total Hours,Used Capacity,Used Hours,Exam 1,Exam 2,Exam 3
144,COPSE-3,30th Jan Morning,50,3,244,5.0,G111GBE1,C8P002E1,
145,COPSE-3,30th Jan Afternoon,50,2,70,4.0,Q3A201E1,C1P001E1,
146,COPSE-3,30th Jan Evening,50,2,124,3.5,Q3B201E1,B31101E1,
147,COPSE-3,31st Jan Morning,50,3,158,5.0,LKC3FAE1,B31103E1,
148,COPSE-3,31st Jan Afternoon,50,2,216,3.0,R11003E1,B31105E1,
149,COPSE-3,31st Jan Evening,50,2,130,4.0,M1B359E1,B31107E1,
150,COPSE-3,1st Feb Morning,50,3,62,4.0,M1B374E1,J51IMAE1,
151,COPSE-3,1st Feb Afternoon,50,2,10,2.5,V13125E1,C81MJAE1,
152,COPSE-3,1st Feb Evening,50,2,2,2.0,Q83110E1,C81JIAE1,
153,COPSE-3,2nd Feb Morning,50,3,2,3.0,Q83198E1,C81JIAE2,
154,COPSE-3,2nd Feb Afternoon,50,2,10,3.0,V13197E1,C81J1AE1,
155,COPSE-3,2nd Feb Evening,50,2,6,2.5,V6B313E1,C81J1AE2,
156,COPSE-3,3rd Feb Morning,50,3,58,4.0,M1B372E1,H6P002E1,
157,COPSE-3,3rd Feb Afternoon,50,2,140,3.0,LK10GAE1,HGCEMME1,
158,COPSE-3,3rd Feb Evening,50,2,189,3.5,R12001E1,H6C162E1,
159,COPSE-3,4th Feb Morning,50,3,92,3.5,R12002E1,H3CPOEE1,
160,COPSE-4,23rd Jan Morning,35,3,113,4.0,R12025E1,H63122E1,
161,COPSE-4,23rd Jan Afternoon,35,2,244,3.0,R11004E1,H3BMDYE1,
162,COPSE-4,23rd Jan Evening,35,2,146,3.5,M1B357E1,H3BMS2E1,
163,COPSE-4,24th Jan Morning,35,3,377,4.0,M1B363E1,HGBEM3E1,
164,COPSE-4,24th Jan Afternoon,35,2,47,3.5,AAA034E1,H7CEPDE1,
165,COPSE-4,24th Jan Evening,35,2,54,3.5,V12115E1,H7CFOOE1,
166,COPSE-4,25th Jan Morning,35,3,161,4.0,LKA1FAE1,J1C106E1,
167,COPSE-4,25th Jan Afternoon,35,2,17,5.0,V73233E1,J1C116E1,
168,COPSE-4,25th Jan Evening,35,2,20,3.5,V83143E1,J1C122E1,
169,COPSE-4,26th Jan Morning,35,3,15,4.5,V81103E1,J1C125E1,
170,COPSE-4,26th Jan Afternoon,35,2,46,4.0,R12008E1,J1C205E1,
171,COPSE-4,26th Jan Evening,35,2,113,3.0,R82022E1,H2CT01E1,
172,COPSE-4,27th Jan Morning,35,3,60,3.5,R82025E1,J1C111E1,
173,COPSE-4,27th Jan Afternoon,35,2,43,3.5,V13104E1,J1C112E1,
174,COPSE-4,27th Jan Evening,35,2,60,3.5,AA2016E1,J1C119E1,
175,COPSE-4,28th Jan Morning,35,3,44,3.5,W32H14E1,H8C001E1,
176,COPSE-4,30th Jan Morning,35,3,36,4.0,V13155E1,H8C002E1,
177,COPSE-4,30th Jan Afternoon,35,2,59,3.5,V6B335E1,H8C019E1,
178,COPSE-4,30th Jan Evening,35,2,51,3.5,V6B329E1,H8C043E1,
179,COPSE-4,31st Jan Morning,35,3,109,3.5,V13152E1,H53171E1,
180,COPSE-4,31st Jan Afternoon,35,2,110,2.5,R22101E1,H6C152E1,
181,COPSE-4,31st Jan Evening,35,2,58,3.5,R22203E1,HGCEMBE1,
182,COPSE-4,1st Feb Morning,35,3,68,3.5,R22212E1,H7CFAME1,
183,COPSE-4,1st Feb Afternoon,35,2,52,3.5,Q82024E1,H23C20E1,
184,COPSE-4,1st Feb Evening,35,2,83,3.0,Q83170E1,H2CM04E1,
185,COPSE-4,2nd Feb Morning,35,3,123,4.0,Q8A310E1,H2CP01E1,
186,COPSE-4,2nd Feb Afternoon,35,2,108,3.0,LK10JAE1,H2CS06E1,
187,COPSE-4,2nd Feb Evening,35,2,91,3.5,V6B310E1,H52110E1,
188,COPSE-4,3rd Feb Morning,35,3,95,4.0,G11AS1E1,H5C112E1,
189,COPSE-4,3rd Feb Afternoon,35,2,45,4.0,Q8B045E1,H5C142E1,
190,COPSE-4,3rd Feb Evening,35,2,121,4.0,M1B355E1,H2CH05E1,
191,COPSE-4,4th Feb Morning,35,3,54,3.5,W32F10E1,H2CS05E1,
192,COPSE-5,23rd Jan Morning,30,3,136,3.0,V41142E1,H51200E1,
193,COPSE-5,23rd Jan Afternoon,30,2,23,5.0,LKC3SAE1,H7CSERE1,
194,COPSE-5,23rd Jan Evening,30,2,36,3.5,V82111E1,H24C20E1,
195,COPSE-5,24th Jan Morning,30,3,73,3.5,V82113E1,H7CAMFE1,
196,COPSE-5,24th Jan Afternoon,30,2,67,3.5,V82115E1,H7CSURE1,
197,COPSE-5,24th Jan Evening,30,2,85,4.0,L83115E1,H3CNUEE1,
198,COPSE-5,25th Jan Morning,30,3,58,4.0,L83118E1,H6C133E1,
199,COPSE-5,25th Jan Afternoon,30,2,56,4.0,M1B382E1,H2CG03E1,
200,COPSE-5,25th Jan Evening,30,2,174,3.5,V6A100E1,H33CONE1,
201,COPSE-5,26th Jan Morning,30,3,90,4.0,V42117E1,H33MI2E1,
202,COPSE-5,26th Jan Afternoon,30,2,73,4.5,W31A12E1,H3CDMSE1,
203,COPSE-5,26th Jan Evening,30,2,84,4.0,L83112E1,H3CENIE1,
204,COPSE-5,27th Jan Morning,30,3,24,4.0,L83121E1,H2CV03E1,
205,COPSE-5,27th Jan Afternoon,30,2,44,3.5,L3B100E1,H72LOGE1,
206,COPSE-5,27th Jan Evening,30,2,100,3.5,N1A110E1,H2CH04E1,
207,COPSE-5,28th Jan Morning,30,3,54,3.5,V72121E1,H7CSIME1,
208,COPSE-5,30th Jan Morning,30,3,67,3.5,V7A204E1,HGCEMAE1,
209,COPSE-5,30th Jan Afternoon,30,2,107,3.5,V82110E1,H5C113E1,
210,COPSE-5,30th Jan Evening,30,2,22,4.0,Q8B076E1,J1C227E1,
211,COPSE-5,31st Jan Morning,30,3,170,3.0,F311A1E1,H3BDM3E1,
212,COPSE-5,31st Jan Afternoon,30,2,102,2.0,F311X1E1,H3BFM2E1,
213,COPSE-5,31st Jan Evening,30,2,90,2.0,F311X2E1,H3BFM2E2,
214,COPSE-5,1st Feb Morning,30,3,75,3.0,F311X4E1,HG3J5GE1,
215,COPSE-5,1st Feb Afternoon,30,2,75,3.5,V7A101E1,H3CMECE1,
216,COPSE-5,1st Feb Evening,30,2,77,3.5,V7A211E1,H7BMACE1,
217,COPSE-5,2nd Feb Morning,30,3,74,5.0,Q4A219E1,H83024E1,
218,COPSE-5,2nd Feb Afternoon,30,2,123,4.0,R12005E1,H62131E1,
219,COPSE-5,2nd Feb Evening,30,2,114,4.0,R12026E1,H62160E1,
220,COPSE-5,3rd Feb Morning,30,3,58,3.5,V7A105E1,H23CEOE1,
221,COPSE-5,3rd Feb Afternoon,30,2,163,4.0,C82CUAE1,H8B040E1,
222,COPSE-5,3rd Feb Evening,30,2,113,3.0,C81ICAE1,H8B045E1,
223,COPSE-5,4th Feb Morning,30,3,136,3.5,V7A107E1,H8C039E1,
224,COPSE-6,23rd Jan Morning,25,3,26,4.0,V82C01E1,H7CLASE1,
225,COPSE-6,23rd Jan Afternoon,25,2,15,4.0,R8B032E1,H3CTSEE1,
226,COPSE-6,23rd Jan Evening,25,2,12,3.5,Q3B211E1,HGCEMCE1,
227,COPSE-6,24th Jan Morning,25,3,9,3.5,R22204E1,D22227E1,
228,COPSE-6,24th Jan Afternoon,25,2,80,4.0,M11351E1,H3CFRCE1,
229,COPSE-6,24th Jan Evening,25,2,73,2.5,R4A101E1,LKB2JAE1,
230,COPSE-6,25th Jan Morning,25,3,92,3.5,V12119E1,H22M02E1,
231,COPSE-6,25th Jan Afternoon,25,2,111,3.5,V12143E1,H22S02E1,
232,COPSE-6,25th Jan Evening,25,2,89,3.5,R22112E1,H22V02E1,
233,COPSE-6,26th Jan Morning,25,3,60,3.0,R22102E1,J52EMME1,
234,COPSE-6,26th Jan Afternoon,25,2,76,3.5,R4A117E1,J5BSTME1,
235,COPSE-6,26th Jan Evening,25,2,75,3.5,R4A215E1,J1B111E1,
236,COPSE-6,27th Jan Morning,25,3,16,3.5,R12024E1,J1B115E1,
237,COPSE-6,27th Jan Afternoon,25,2,107,3.5,R21101E1,J1B116E1,
238,COPSE-6,27th Jan Evening,25,2,18,3.0,AAB058E1,J1B203E1,
239,COPSE-6,28th Jan Morning,25,3,39,3.5,Q3A303E1,HG2J3AE1,
240,COPSE-6,30th Jan Morning,25,3,38,4.0,LKA1RAE1,HG2J3BE1,
241,COPSE-6,30th Jan Afternoon,25,2,40,3.5,W32H16E1,HG2J3DE1,
242,COPSE-6,30th Jan Evening,25,2,44,3.0,Q81009E1,HG2J4AE1,
243,COPSE-6,31st Jan Morning,25,3,39,3.5,W32C10E1,HG2S3EE1,
244,COPSE-6,31st Jan Afternoon,25,2,48,3.5,W32H10E1,H8A009E1,
245,COPSE-6,31st Jan Evening,25,2,77,4.0,L3B021E1,J1B109E1,
246,COPSE-6,1st Feb Morning,25,3,71,3.5,V12148E1,J1B113E1,
247,COPSE-6,1st Feb Afternoon,25,2,81,3.5,R4A210E1,H82029E1,
248,COPSE-6,1st Feb Evening,25,2,83,3.5,R42217E1,H82046E1,
249,COPSE-6,2nd Feb Morning,25,3,153,4.0,L31004E1,H72NNSE1,
250,COPSE-6,2nd Feb Afternoon,25,2,154,3.5,L31097E1,H7ACS1E1,
251,COPSE-6,2nd Feb Evening,25,2,17,4.0,V41124E1,H3CFM3E1,
252,COPSE-6,3rd Feb Morning,25,3,121,3.5,V41133E1,H3AFM1E1,
253,COPSE-6,3rd Feb Afternoon,25,2,70,3.0,V41143E1,H71EMPE1,
254,COPSE-6,3rd Feb Evening,25,2,107,3.5,V7A109E1,H82006E1,
255,COPSE-6,4th Feb Morning,25,3,91,3.5,V7A216E1,H82024E1,
256,PRTLND-GRND,23rd Jan Morning,200,3,95,3.5,V12123E1,H22C20E1,
257,PRTLND-GRND,23rd Jan Afternoon,200,2,13,4.5,V12129E1,LKC3RAE1,
258,PRTLND-GRND,23rd Jan Evening,200,2,32,4.0,V42103E1,H72ENTE1,
259,PRTLND-GRND,24th Jan Morning,200,3,142,3.5,V12135E1,H51100E1,
260,PRTLND-GRND,24th Jan Afternoon,200,2,157,3.5,M3A019E1,H61120E1,
261,PRTLND-GRND,24th Jan Evening,200,2,141,4.0,N1A402E1,HG1EM0E1,
262,PRTLND-GRND,25th Jan Morning,200,3,109,4.0,M12353E1,J1A102E1,
263,PRTLND-GRND,25th Jan Afternoon,200,2,52,3.5,V12139E1,J1A110E1,
264,PRTLND-GRND,25th Jan Evening,200,2,158,3.5,V11111E1,J1A111E1,
265,PRTLND-GRND,26th Jan Morning,200,3,106,3.5,V61110E1,J1A202E1,
266,PRTLND-GRND,26th Jan Afternoon,200,2,108,3.0,V61120E1,J1A203E1,
267,PRTLND-GRND,26th Jan Evening,200,2,176,5.0,Q4A101E1,H31BDAE1,
268,PRTLND-GRND,27th Jan Morning,200,3,285,5.0,L11100E1,H31DM1E1,
269,PRTLND-GRND,27th Jan Afternoon,200,2,111,3.0,V12121E1,H31ENCE1,
270,PRTLND-GRND,27th Jan Evening,200,2,108,3.0,LK10FAE1,H81022E1,
271,PRTLND-GRND,28th Jan Morning,200,3,66,3.0,Q82031E1,H8A011E1,
272,PRTLND-GRND,30th Jan Morning,200,3,90,3.0,Q8B044E1,H71MIPE1,
273,PRTLND-GRND,30th Jan Afternoon,200,2,104,3.5,L11130E1,H21B00E1,
274,PRTLND-GRND,30th Jan Evening,200,2,108,3.5,AAA022E1,H21H01E1,
275,PRTLND-GRND,31st Jan Morning,200,3,128,3.5,R13001E1,H21M01E1,
276,PRTLND-GRND,31st Jan Afternoon,200,2,197,4.0,B33545E1,J51R01E1,
277,PRTLND-GRND,31st Jan Evening,200,2,40,3.5,M1B380E1,HG1J1AE1,
278,PRTLND-GRND,1st Feb Morning,200,3,31,3.0,C82OUAE1,H71MS1E1,
279,PRTLND-GRND,1st Feb Afternoon,200,2,78,2.0,C82SUAE1,H81050E1,
280,PRTLND-GRND,1st Feb Evening,200,2,107,2.0,LK10KBE1,H51140E1,
281,PRTLND-GRND,2nd Feb Morning,200,3,57,3.5,V7A117E1,EN00P5E1,
282,PRTLND-GRND,2nd Feb Afternoon,200,2,104,4.0,M31006E1,EN00P7E1,
283,PRTLND-GRND,2nd Feb Evening,200,2,50,3.5,L82120E1,H6P001E1,
284,PRTLND-GRND,3rd Feb Morning,200,3,44,3.5,L82121E1,EN00C1E1,
285,PRTLND-GRND,3rd Feb Afternoon,200,2,104,4.0,L82125E1,EN00P1E1,
286,PRTLND-GRND,3rd Feb Evening,200,2,39,3.0,Q81016E1,EN00P3E1,
287,PRTLND-GRND,4th Feb Morning,200,3,58,4.0,Q81003E1,J1A112E1,
288,POPE-A13,23rd Jan Morning,80,3,73,1.5,V11109E1,,
289,POPE-A13,23rd Jan Afternoon,80,2,27,1.5,L3B030E1,,
290,POPE-A13,23rd Jan Evening,80,2,22,3.0,LKC3GAE1,,
291,POPE-A13,24th Jan Morning,80,3,4,1.0,R8A013E1,,
292,POPE-A13,24th Jan Afternoon,80,2,114,1.5,N1B410E1,,
293,POPE-A13,24th Jan Evening,80,2,48,2.0,L3B032E1,,
294,POPE-A13,25th Jan Morning,80,3,25,2.0,L3B036E1,,
295,POPE-A13,25th Jan Afternoon,80,2,8,1.5,R4A119E1,,
296,POPE-A13,25th Jan Evening,80,2,21,1.5,L3B046E1,,
297,POPE-A13,26th Jan Morning,80,3,89,1.5,R11002E1,,
298,POPE-A13,26th Jan Afternoon,80,2,68,2.0,L31005E1,,
299,POPE-A13,26th Jan Evening,80,2,32,1.5,V81101E1,,
300,POPE-A13,27th Jan Morning,80,3,21,1.5,V81105E1,,
301,POPE-A13,27th Jan Afternoon,80,2,38,1.5,V81107E1,,
302,POPE-A13,27th Jan Evening,80,2,56,1.5,V81109E1,,
303,POPE-A13,28th Jan Morning,80,3,54,1.0,C81IDAE1,,
304,POPE-A13,30th Jan Morning,80,3,9,1.0,LKB2SAE1,,
305,POPE-A13,30th Jan Afternoon,80,2,55,1.5,V11103E1,,
306,POPE-A13,30th Jan Evening,80,2,78,2.0,Q31301E1,,
307,POPE-A13,31st Jan Morning,80,3,191,1.0,R11001E1,,
308,POPE-A13,31st Jan Afternoon,80,2,25,1.0,C81IBAE1,,
309,POPE-A13,31st Jan Evening,80,2,66,1.5,V11105E1,,
310,POPE-A13,1st Feb Morning,80,3,34,2.0,L3B015E1,,
311,POPE-A13,1st Feb Afternoon,80,2,59,2.0,L31013E1,,
312,POPE-A13,1st Feb Evening,80,2,39,3.0,Q4A210E1,,
313,POPE-A13,2nd Feb Morning,80,3,11,3.0,Q4A106E1,,
314,POPE-A13,2nd Feb Afternoon,80,2,80,1.5,M11347E1,,
